Meal,rep,day,lw
CF,1,0,2.666667
CF,2,0,2.666667
CF,3,0,2.666667
CF,1,2,12.75
CF,2,2,13.25
CF,3,2,14
CF,1,4,125.55
CF,2,4,132.65
CF,3,4,125.45
CF,1,6,265.5
CF,2,6,275.2
CF,3,6,248.4
CF,1,8,260.4
CF,2,8,258.1
CF,3,8,245.8
CF,1,10,220.5
CF,2,10,235.8
CF,3,10,221.7
CF,1,12,172.65
CF,2,12,193.8
CF,3,12,200.55
OKA,1,0,2.666667
OKA,2,0,2.666667
OKA,3,0,2.666667
OKA,1,2,32.65
OKA,2,2,33.55
OKA,3,2,32.05
OKA,1,4,156.8
OKA,2,4,158.2
OKA,3,4,147.05
OKA,1,6,191.5
OKA,2,6,154.3
OKA,3,6,173.8
OKA,1,8,164.6
OKA,2,8,154.7
OKA,3,8,151.1
OKA,1,10,137.4
OKA,2,10,129.2
OKA,3,10,138.4
OKA,1,12,125.65
OKA,2,12,132.35
OKA,3,12,110.4
FW,1,0,2.666667
FW,2,0,2.666667
FW,3,0,2.666667
FW,1,2,43.8
FW,2,2,47.1
FW,3,2,46.55
FW,1,4,152.5
FW,2,4,156.45
FW,3,4,171.35
FW,1,6,151.2
FW,2,6,172.8
FW,3,6,172
FW,1,8,176.4
FW,2,8,195.8
FW,3,8,196.3
FW,1,10,254.8
FW,2,10,239.3
FW,3,10,243.1
FW,1,12,171.5
FW,2,12,207.55
FW,3,12,183.95
BG,1,0,2.666667
BG,2,0,2.666667
BG,3,0,2.666667
BG,1,2,36.8
BG,2,2,36.7
BG,3,2,40.55
BG,1,4,136.55
BG,2,4,124.95
BG,3,4,141.2
BG,1,6,157.9
BG,2,6,140.4
BG,3,6,171.3
BG,1,8,154.7
BG,2,8,163.4
BG,3,8,158.1
BG,1,10,117.7
BG,2,10,135.4
BG,3,10,125.6
BG,1,12,103.2
BG,2,12,108.75
BG,3,12,116.85
BB,1,0,2.666667
BB,2,0,2.666667
BB,3,0,2.666667
BB,1,2,13.4
BB,2,2,15.05
BB,3,2,11.3
BB,1,4,42.1
BB,2,4,43.8
BB,3,4,41.1
BB,1,6,64.2
BB,2,6,95.1
BB,3,6,74
BB,1,8,126.3
BB,2,8,130.1
BB,3,8,133.4
BB,1,10,150.9
BB,2,10,146.9
BB,3,10,130.7
BB,1,12,93.45
BB,2,12,101.7
BB,3,12,98.75
