meal,rep,no,f_bw,m_bw
CF,1,1,90.1,76
CF,1,2,112.9,67.6
CF,1,3,72.7,61.2
CF,1,4,95.5,75.9
CF,1,5,95.1,71.6
CF,1,6,97.4,70.3
CF,1,7,95.6,64.2
CF,1,8,100.5,73.4
CF,1,9,89.6,67.2
CF,1,10,91.8,69.9
CF,2,1,90.2,64.5
CF,2,2,83.1,84.5
CF,2,3,117.9,72.3
CF,2,4,97.3,101.7
CF,2,5,76.4,80.8
CF,2,6,83.7,61.8
CF,2,7,95,71.1
CF,2,8,103.6,65.8
CF,2,9,93.6,66.4
CF,2,10,76.5,75.3
CF,3,1,101.1,65.6
CF,3,2,96.3,63.6
CF,3,3,75.4,60.7
CF,3,4,97.2,71.8
CF,3,5,88.8,63.2
CF,3,6,77.4,68.1
CF,3,7,63.8,80.6
CF,3,8,86.5,64.4
CF,4,9,94.3,67.5
CF,5,10,75.6,66.1
OKA,1,1,61.9,60.4
OKA,1,2,63.6,57.2
OKA,1,3,73.8,50.3
OKA,1,4,55.7,50.9
OKA,1,5,41,55.9
OKA,1,6,41.1,49.8
OKA,1,7,60.1,76.4
OKA,1,8,57.6,71.1
OKA,1,9,53.7,62.8
OKA,1,10,60.8,64.2
OKA,2,1,85.8,64.7
OKA,2,2,51.8,50.1
OKA,2,3,36.8,41.6
OKA,2,4,41.2,30.9
OKA,2,5,46.8,38.3
OKA,2,6,49.7,43.7
OKA,2,7,57,47.3
OKA,2,8,61.1,37.9
OKA,2,9,48.7,36.4
OKA,2,10,55.3,56.1
OKA,3,1,58.7,49.9
OKA,3,2,49.6,43.7
OKA,3,3,55.5,47.6
OKA,3,4,72.4,50.3
OKA,3,5,39.7,64.2
OKA,3,6,37.5,53.3
OKA,3,7,45.6,38.6
OKA,3,8,48.4,48.2
OKA,3,9,53.3,57.8
OKA,3,10,56.9,55.8
FW,1,1,63.3,59
FW,1,2,55.5,54.7
FW,1,3,86.4,42.4
FW,1,4,100.3,59.4
FW,1,5,96.3,55.4
FW,1,6,87.6,41.5
FW,1,7,90.8,73.9
FW,1,8,99.7,65.2
FW,1,9,104.4,57.5
FW,1,10,86.4,61.8
FW,2,1,74.8,54.1
FW,2,2,68.6,81.9
FW,2,3,74.8,69.5
FW,2,4,87.4,74.3
FW,2,5,61.2,65
FW,2,6,101.2,71.6
FW,2,7,90.2,71.4
FW,2,8,80.3,68.6
FW,2,9,94.6,77.5
FW,2,10,93,58.6
FW,3,1,85.5,51.7
FW,3,2,98.6,61.1
FW,3,3,89.1,65.1
FW,3,4,86.9,62.1
FW,3,5,95.7,44.6
FW,3,6,98,56.7
FW,3,7,100.9,47.7
FW,3,8,93.8,50.9
FW,3,9,89.7,60.8
FW,3,10,94.2,63.2
BG,1,1,49.6,33.6
BG,1,2,54.6,29.8
BG,1,3,39.1,30.2
BG,1,4,59.4,33.3
BG,1,5,41.5,40.5
BG,1,6,45.3,36.7
BG,1,7,52.7,46.1
BG,1,8,48.7,41.8
BG,1,9,44.4,50.6
BG,1,10,53.1,47.6
BG,2,1,52.2,57.9
BG,2,2,65.7,28.9
BG,2,3,58.5,38
BG,2,4,45.2,36.5
BG,2,5,54.7,43.2
BG,2,6,60.5,30.2
BG,2,7,58.5,30.1
BG,2,8,63,33.4
BG,2,9,56.9,31.5
BG,2,10,59.2,45
BG,3,1,60.2,48.6
BG,3,2,65.3,54.4
BG,3,3,67.7,46.3
BG,3,4,50.4,45
BG,3,5,55.2,30.2
BG,3,6,68.7,36.9
BG,3,7,68.5,45.7
BG,3,8,64.7,41.3
BG,3,9,61,47.8
BG,3,10,58.3,42.2
